"System Configuration",Brand,"No. of Systems"
,,
"Dell optiplex-390
a)Intel Core i5-2400 CPU @3.10Ghz(with GPU), 4.00 GB RAM, 500GB HDD,Optical Mouse,Keyboard,
19” LCD Monitor.",Dell,15
"b)Intel Core i3-2120 CPU@3.30
GHz,4.00 GB RAM, 500GB HDD,OpticalMouse,Keyboard,
17” LCD Monitor.",Dell,19
"Lenovo Think centre
Intel Core i3-2100 CPU @3.10 Ghz,4.00 GB RAM, 320GB HDD,OpticalMouse,Keyboard,
17” LCD Monitor.",Lenovo,15
"Dell optiplex-380
Intel core 2 Duo E7500@2.93Ghz,4.00 GB RAM, 500GB HDD,OpticalMouse,Keyboard,
19” LCD Monitor.",Dell,23
"HP Systems
Intel i5 processor,8 GB RAM,500 GB HDD, OpticalMouse,Keyboard ,HP 18.5” LCD Monitor.",HP,2
,,
,"Total = ",74
