"Lab Number","Workshop Details","Faculty Name",Date,From,To
,,,,,
6,ert,e,2017-10-25,3,4
AB1-205,testing,t,2017-11-01,08:00,17:00
AB1-205,g,A,2017-11-02,00:00,16:00
AB1-205,d,d,2017-11-03,09:00,16:00
AB1-205,qwe,q,2017-11-11,09:00,16:00
AB1-205,s,s,2017-11-14,07:07,17:01
AB1-205,qe,qwee,2017-11-22,13:00,16:00
AB1-205,khv,hv,2017-11-24,00:59,13:00
AB1-205,f,f,2017-11-25,09:00,16:00
AB1-205,a,g,2017-11-25,09:00,16:00
AB1-205,d,d,2017-11-29,09:00,16:00
AB1-205,d,p,2017-11-30,09:00,16:00
AB1-205,1,de,2017-12-02,09:00,16:00
AB1-210,asdfg,xyz,2017-11-06,08:30,14:45
AB1-210,wewee,ytr,2017-11-24,01:15,06:00
